Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,742,108,69,247,20.18,0.000%,73.68421,76217.03,10.15,1059199.0
TOTAL,742,108,69,247,20.18,0.000%,73.68421,76217.03,10.15,1059199.0
